<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ2,1,20121008,100000,148840.00000,148840.00000,148180.00000,148340.00000,8957
RIZ2,1,20121008,100100,148340.00000,148500.00000,148300.00000,148430.00000,4586
RIZ2,1,20121008,100200,148440.00000,148550.00000,148410.00000,148510.00000,2830
RIZ2,1,20121008,100300,148510.00000,148520.00000,148400.00000,148420.00000,2087
RIZ2,1,20121008,100400,148420.00000,148430.00000,148350.00000,148350.00000,2229
RIZ2,1,20121008,100500,148350.00000,148360.00000,148290.00000,148350.00000,2223
RIZ2,1,20121008,100600,148350.00000,148420.00000,148340.00000,148380.00000,2102
RIZ2,1,20121008,100700,148380.00000,148380.00000,148260.00000,148330.00000,3029
RIZ2,1,20121008,100800,148330.00000,148350.00000,148280.00000,148330.00000,1180
RIZ2,1,20121008,100900,148320.00000,148430.00000,148290.00000,148420.00000,2188
RIZ2,1,20121008,101000,148420.00000,148580.00000,148410.00000,148550.00000,3911
RIZ2,1,20121008,101100,148550.00000,148590.00000,148480.00000,148580.00000,2535
RIZ2,1,20121008,101200,148570.00000,148570.00000,148500.00000,148520.00000,1268
RIZ2,1,20121008,101300,148530.00000,148660.00000,148520.00000,148610.00000,1812
RIZ2,1,20121008,101400,148610.00000,148670.00000,148570.00000,148660.00000,2080
RIZ2,1,20121008,101500,148650.00000,148690.00000,148530.00000,148560.00000,1718
RIZ2,1,20121008,101600,148550.00000,148720.00000,148540.00000,148570.00000,1972
RIZ2,1,20121008,101700,148570.00000,148580.00000,148460.00000,148530.00000,1867
RIZ2,1,20121008,101800,148520.00000,148550.00000,148510.00000,148540.00000,405
RIZ2,1,20121008,101900,148550.00000,148560.00000,148490.00000,148500.00000,597
RIZ2,1,20121008,102000,148510.00000,148530.00000,148450.00000,148490.00000,658
RIZ2,1,20121008,102100,148490.00000,148550.00000,148480.00000,148550.00000,577
RIZ2,1,20121008,102200,148550.00000,148560.00000,148460.00000,148530.00000,786
RIZ2,1,20121008,102300,148530.00000,148550.00000,148490.00000,148500.00000,400
RIZ2,1,20121008,102400,148520.00000,148540.00000,148490.00000,148500.00000,362
RIZ2,1,20121008,102500,148490.00000,148500.00000,148410.00000,148450.00000,1154
RIZ2,1,20121008,102600,148450.00000,148460.00000,148420.00000,148460.00000,505
RIZ2,1,20121008,102700,148450.00000,148560.00000,148450.00000,148530.00000,1413
RIZ2,1,20121008,102800,148540.00000,148540.00000,148480.00000,148520.00000,423
RIZ2,1,20121008,102900,148530.00000,148530.00000,148390.00000,148390.00000,1625
RIZ2,1,20121008,103000,148400.00000,148420.00000,148230.00000,148390.00000,3636
RIZ2,1,20121008,103100,148400.00000,148490.00000,148390.00000,148440.00000,1541
RIZ2,1,20121008,103200,148440.00000,148480.00000,148430.00000,148440.00000,654
RIZ2,1,20121008,103300,148460.00000,148480.00000,148400.00000,148430.00000,1626
RIZ2,1,20121008,103400,148440.00000,148570.00000,148430.00000,148560.00000,1892
RIZ2,1,20121008,103500,148550.00000,148560.00000,148490.00000,148510.00000,1021
RIZ2,1,20121008,103600,148500.00000,148610.00000,148500.00000,148600.00000,1180
RIZ2,1,20121008,103700,148580.00000,148600.00000,148520.00000,148550.00000,818
RIZ2,1,20121008,103800,148540.00000,148680.00000,148540.00000,148580.00000,1837
RIZ2,1,20121008,103900,148580.00000,148610.00000,148540.00000,148590.00000,939
RIZ2,1,20121008,104000,148590.00000,148600.00000,148530.00000,148560.00000,596
RIZ2,1,20121008,104100,148560.00000,148580.00000,148500.00000,148550.00000,718
RIZ2,1,20121008,104200,148550.00000,148590.00000,148520.00000,148580.00000,363
RIZ2,1,20121008,104300,148570.00000,148660.00000,148530.00000,148630.00000,765
RIZ2,1,20121008,104400,148630.00000,148630.00000,148540.00000,148590.00000,1055
RIZ2,1,20121008,104500,148590.00000,148630.00000,148500.00000,148540.00000,1392
RIZ2,1,20121008,104600,148540.00000,148630.00000,148510.00000,148600.00000,964
RIZ2,1,20121008,104700,148610.00000,148770.00000,148590.00000,148770.00000,2894
RIZ2,1,20121008,104800,148770.00000,148830.00000,148720.00000,148740.00000,2121
RIZ2,1,20121008,104900,148740.00000,148750.00000,148670.00000,148700.00000,1436
RIZ2,1,20121008,105000,148700.00000,148730.00000,148620.00000,148670.00000,1195
RIZ2,1,20121008,105100,148660.00000,148690.00000,148650.00000,148660.00000,364
RIZ2,1,20121008,105200,148680.00000,148690.00000,148650.00000,148650.00000,581
RIZ2,1,20121008,105300,148650.00000,148680.00000,148620.00000,148630.00000,874
RIZ2,1,20121008,105400,148640.00000,148680.00000,148610.00000,148650.00000,519
RIZ2,1,20121008,105500,148670.00000,148670.00000,148630.00000,148670.00000,270
RIZ2,1,20121008,105600,148660.00000,148690.00000,148640.00000,148680.00000,454
RIZ2,1,20121008,105700,148670.00000,148680.00000,148640.00000,148640.00000,357
RIZ2,1,20121008,105800,148640.00000,148660.00000,148520.00000,148520.00000,1836
